lat,long,time,pm
22.5,88.35,9/15/2023 11:00,24.14232068
22.51,88.34,9/15/2023 11:00,16.62483004
22.51,88.36,9/15/2023 11:00,20.63733032
22.51,88.37,9/15/2023 11:00,30.34271884
22.54,88.34,9/15/2023 11:00,23.66799995
22.54,88.35,9/15/2023 11:00,26.73420569
22.59,88.36,9/15/2023 11:00,32.40007343
22.6,88.37,9/15/2023 11:00,20.02423264
22.6,88.41,9/15/2023 11:00,29.15898011
22.48,88.39,9/15/2023 12:00,24.80901692
22.5,88.35,9/15/2023 12:00,26.13460503
22.51,88.34,9/15/2023 12:00,17.6655333
22.51,88.36,9/15/2023 12:00,24.13628473
22.51,88.37,9/15/2023 12:00,20.60620042
22.54,88.34,9/15/2023 12:00,20.70812726
22.54,88.35,9/15/2023 12:00,24.63075599
22.58,88.43,9/15/2023 12:00,15.76053361
22.59,88.36,9/15/2023 12:00,28.25778212
22.6,88.37,9/15/2023 12:00,18.36662531
22.6,88.41,9/15/2023 12:00,20.86735215
22.48,88.39,9/15/2023 13:00,23.82690933
22.5,88.35,9/15/2023 13:00,24.73344912
22.51,88.34,9/15/2023 13:00,16.37010861
22.51,88.36,9/15/2023 13:00,18.91823132
22.51,88.37,9/15/2023 13:00,18.20200775
22.54,88.34,9/15/2023 13:00,18.63149947
22.54,88.35,9/15/2023 13:00,20.58752727
22.57,88.42,9/15/2023 13:00,18.32040237
22.58,88.43,9/15/2023 13:00,14.55637049
22.59,88.36,9/15/2023 13:00,24.93238827
22.6,88.37,9/15/2023 13:00,20.68199272
22.6,88.41,9/15/2023 13:00,18.73804074
22.48,88.39,9/15/2023 14:00,23.53650327
22.5,88.35,9/15/2023 14:00,24.74626723
22.51,88.34,9/15/2023 14:00,16.84285759
22.51,88.36,9/15/2023 14:00,20.15753174
22.51,88.37,9/15/2023 14:00,20.48087065
22.54,88.34,9/15/2023 14:00,21.45066263
22.54,88.35,9/15/2023 14:00,20.57837996
22.57,88.42,9/15/2023 14:00,16.88537836
22.58,88.43,9/15/2023 14:00,14.64387622
22.59,88.36,9/15/2023 14:00,25.53050937
22.6,88.37,9/15/2023 14:00,19.28179352
22.6,88.41,9/15/2023 14:00,19.91457817
22.48,88.39,9/15/2023 15:00,23.47978412
22.5,88.35,9/15/2023 15:00,27.23780294
22.51,88.34,9/15/2023 15:00,16.78098404
22.51,88.36,9/15/2023 15:00,20.06922537
22.51,88.37,9/15/2023 15:00,19.50957634
22.54,88.34,9/15/2023 15:00,20.15031809
22.54,88.35,9/15/2023 15:00,21.10189919
22.57,88.36,9/15/2023 15:00,20.70536246
22.57,88.42,9/15/2023 15:00,17.57863236
22.58,88.43,9/15/2023 15:00,14.97235748
22.59,88.36,9/15/2023 15:00,24.34028514
22.6,88.37,9/15/2023 15:00,21.27936596
22.6,88.41,9/15/2023 15:00,18.49849409
22.48,88.39,9/15/2023 16:00,20.98323903
22.5,88.35,9/15/2023 16:00,20.40347431
22.51,88.34,9/15/2023 16:00,15.24379016
22.51,88.36,9/15/2023 16:00,16.66587524
22.51,88.37,9/15/2023 16:00,16.26762605
22.54,88.34,9/15/2023 16:00,18.59230431
22.54,88.35,9/15/2023 16:00,19.91394472
22.57,88.36,9/15/2023 16:00,19.0680602
22.57,88.42,9/15/2023 16:00,15.57115718
22.58,88.43,9/15/2023 16:00,13.96932901
22.59,88.36,9/15/2023 16:00,26.18934683
22.6,88.37,9/15/2023 16:00,20.07808159
