lat,long,time,pm
22.46,88.31,10/4/2023 11:00,18.35848278
22.46,88.31,10/4/2023 12:00,23.8526747
22.46,88.31,10/4/2023 13:00,20.27940135
22.46,88.31,10/4/2023 14:00,28.72144737
22.46,88.31,10/4/2023 15:00,37.88624756
22.46,88.31,10/4/2023 16:00,16.66168041
22.46,88.31,10/4/2023 19:00,26.93748733
22.46,88.31,10/4/2023 20:00,53.00683536
22.46,88.31,10/4/2023 22:00,31.16450966
22.46,88.31,10/5/2023 5:00,32.54674586
22.46,88.31,10/5/2023 6:00,24.91816544
22.46,88.31,10/5/2023 8:00,42.26258683
22.46,88.31,10/5/2023 10:00,41.84382548
22.46,88.31,10/5/2023 12:00,30.40958663
22.46,88.31,10/5/2023 13:00,34.96663764
22.46,88.31,10/5/2023 14:00,32.04531144
22.46,88.31,10/5/2023 15:00,30.2079613
22.46,88.31,10/5/2023 20:00,43.34064542
22.46,88.31,10/5/2023 23:00,32.5731768
22.46,88.31,10/6/2023 5:00,30.19107689
22.46,88.31,10/6/2023 6:00,31.29247485
22.46,88.31,10/6/2023 12:00,29.78813521
22.46,88.31,10/6/2023 13:00,28.06086781
22.46,88.31,10/6/2023 14:00,23.73243247
22.46,88.31,10/6/2023 15:00,29.4160881
22.46,88.31,10/6/2023 16:00,23.68212407
22.46,88.31,10/6/2023 18:00,34.3551653
22.46,88.31,10/6/2023 19:00,38.27971725
22.46,88.31,10/6/2023 20:00,41.09467756
22.46,88.31,10/6/2023 22:00,60.75963536
22.46,88.31,10/7/2023 5:00,42.4328073
22.46,88.31,10/7/2023 6:00,74.35374928
22.46,88.31,10/7/2023 8:00,40.08778662
22.46,88.31,10/7/2023 9:00,43.60402307
22.46,88.31,10/7/2023 11:00,44.29154024
22.46,88.31,10/7/2023 12:00,30.30682641
22.46,88.31,10/7/2023 13:00,34.16276737
22.46,88.31,10/7/2023 15:00,53.8943854
22.46,88.31,10/7/2023 18:00,48.52051461
22.46,88.31,10/7/2023 19:00,30.61869579
22.46,88.31,10/7/2023 22:00,53.90936802
22.46,88.31,10/8/2023 5:00,44.44380671
22.46,88.31,10/8/2023 7:00,57.54633199
22.46,88.31,10/8/2023 9:00,45.30932287
22.46,88.31,10/8/2023 10:00,31.07875179
22.46,88.31,10/8/2023 11:00,39.71133216
22.46,88.31,10/8/2023 13:00,34.76927744
22.46,88.31,10/8/2023 15:00,41.6665002
22.46,88.31,10/8/2023 16:00,36.83147103
22.46,88.31,10/8/2023 17:00,47.89383168
22.46,88.31,10/8/2023 18:00,43.86154007
22.46,88.31,10/8/2023 19:00,44.7780951
22.46,88.31,10/8/2023 20:00,54.16678814
22.46,88.31,10/8/2023 21:00,49.88269929
22.46,88.31,10/9/2023 5:00,45.75686943
