lat,long,time,pm
22.6,88.41,3/28/2023 9:00,48.41944742
22.46,88.37,3/28/2023 10:00,50.42903425
22.5,88.35,3/28/2023 10:00,51.52398407
22.52,88.34,3/28/2023 10:00,52.90431402
22.54,88.34,3/28/2023 10:00,54.04107719
22.54,88.35,3/28/2023 10:00,57.61921407
22.56,88.35,3/28/2023 10:00,52.75551881
22.56,88.39,3/28/2023 10:00,53.33095066
22.57,88.36,3/28/2023 10:00,60.87936367
22.57,88.37,3/28/2023 10:00,59.257811
22.59,88.36,3/28/2023 10:00,56.72776696
22.6,88.41,3/28/2023 10:00,57.40225397
22.46,88.37,3/28/2023 11:00,56.48367933
22.5,88.35,3/28/2023 11:00,56.54222257
22.52,88.34,3/28/2023 11:00,58.51220804
22.54,88.34,3/28/2023 11:00,59.18440535
22.54,88.35,3/28/2023 11:00,65.63577275
22.56,88.35,3/28/2023 11:00,61.78530621
22.56,88.39,3/28/2023 11:00,59.23583237
22.57,88.36,3/28/2023 11:00,65.06861534
22.57,88.37,3/28/2023 11:00,61.97292388
22.59,88.36,3/28/2023 11:00,60.47198257
22.6,88.41,3/28/2023 11:00,59.89517444
22.46,88.37,3/28/2023 12:00,58.95112369
22.5,88.35,3/28/2023 12:00,59.26488003
22.52,88.34,3/28/2023 12:00,60.05823472
22.54,88.34,3/28/2023 12:00,60.65457398
22.54,88.35,3/28/2023 12:00,67.61518932
22.56,88.35,3/28/2023 12:00,63.65738851
22.56,88.39,3/28/2023 12:00,60.05675495
22.57,88.36,3/28/2023 12:00,64.24704403
22.57,88.37,3/28/2023 12:00,62.73270145
22.59,88.36,3/28/2023 12:00,60.79534326
22.6,88.41,3/28/2023 12:00,57.99832115
22.46,88.37,3/28/2023 13:00,57.58251104
22.5,88.35,3/28/2023 13:00,57.73227184
22.52,88.34,3/28/2023 13:00,60.17130147
22.54,88.34,3/28/2023 13:00,59.64653777
22.54,88.35,3/28/2023 13:00,60.90357612
22.56,88.35,3/28/2023 13:00,60.57278947
22.56,88.39,3/28/2023 13:00,61.00332568
22.57,88.36,3/28/2023 13:00,65.53393656
22.57,88.37,3/28/2023 13:00,63.49426452
22.59,88.36,3/28/2023 13:00,62.61211137
22.6,88.41,3/28/2023 13:00,57.44395057
22.46,88.37,3/28/2023 14:00,52.68950178
22.5,88.35,3/28/2023 14:00,55.37254681
22.52,88.34,3/28/2023 14:00,56.79844106
22.54,88.34,3/28/2023 14:00,56.40923676
22.54,88.35,3/28/2023 14:00,55.82494175
22.56,88.35,3/28/2023 14:00,55.37198227
22.56,88.39,3/28/2023 14:00,61.41671144
22.57,88.36,3/28/2023 14:00,62.39960392
22.57,88.37,3/28/2023 14:00,63.2385229
22.59,88.36,3/28/2023 14:00,59.05301995
22.6,88.41,3/28/2023 14:00,52.96051529
22.46,88.37,3/28/2023 15:00,49.83644955
22.5,88.35,3/28/2023 15:00,52.84867467
22.52,88.34,3/28/2023 15:00,53.83768778
22.54,88.34,3/28/2023 15:00,53.70709258
22.54,88.35,3/28/2023 15:00,55.12762633
22.56,88.35,3/28/2023 15:00,52.8977306
22.56,88.39,3/28/2023 15:00,58.40463592
22.57,88.36,3/28/2023 15:00,55.69055354
22.57,88.37,3/28/2023 15:00,59.97091654
22.59,88.36,3/28/2023 15:00,55.53728153
22.6,88.41,3/28/2023 15:00,50.92405162
22.46,88.37,3/28/2023 16:00,48.10024748
22.5,88.35,3/28/2023 16:00,51.81970219
22.52,88.34,3/28/2023 16:00,53.51094142
22.54,88.34,3/28/2023 16:00,52.2452687
22.54,88.35,3/28/2023 16:00,51.93971994
22.56,88.35,3/28/2023 16:00,50.2863918
22.56,88.39,3/28/2023 16:00,52.22187112
22.57,88.36,3/28/2023 16:00,51.96691002
22.57,88.37,3/28/2023 16:00,53.81360389
22.59,88.36,3/28/2023 16:00,50.99876525
22.6,88.41,3/28/2023 16:00,50.29744993
22.46,88.37,3/28/2023 17:00,47.40980042
22.5,88.35,3/28/2023 17:00,47.07505088
22.52,88.34,3/28/2023 17:00,49.49531874
22.54,88.34,3/28/2023 17:00,46.1875506
22.54,88.35,3/28/2023 17:00,45.35935262
22.56,88.35,3/28/2023 17:00,46.01013798
22.56,88.39,3/28/2023 17:00,50.56863541
22.57,88.36,3/28/2023 17:00,46.66679981
22.57,88.37,3/28/2023 17:00,47.41995071
22.59,88.36,3/28/2023 17:00,47.17864373
22.6,88.41,3/28/2023 17:00,45.26977653
22.46,88.37,3/28/2023 18:00,43.75219421
22.5,88.35,3/28/2023 18:00,45.29134173
22.52,88.34,3/28/2023 18:00,48.00643735
22.54,88.34,3/28/2023 18:00,44.71742741
22.54,88.35,3/28/2023 18:00,44.39043662
22.56,88.35,3/28/2023 18:00,43.86272246
22.56,88.39,3/28/2023 18:00,48.26100697
22.57,88.36,3/28/2023 18:00,44.95894567
22.57,88.37,3/28/2023 18:00,46.06588989
22.59,88.36,3/28/2023 18:00,45.14011072
22.6,88.41,3/28/2023 18:00,55.95869171
22.46,88.37,3/28/2023 19:00,40.12452574
22.5,88.35,3/28/2023 19:00,42.53764346
22.52,88.34,3/28/2023 19:00,45.80487107
22.54,88.34,3/28/2023 19:00,44.42143848
22.54,88.35,3/28/2023 19:00,44.27670485
22.56,88.35,3/28/2023 19:00,43.51049593
22.56,88.39,3/28/2023 19:00,48.02531358
22.57,88.36,3/28/2023 19:00,42.56436685
